Stop Number,Business Name,Address,Postcode,Order Details
1,Cosy Club,"Unit 3, 11 Bretonside, Plymouth",PL4 0FE,5 boxes of branded glassware and bar garnish supplies
2,Monty's Café,"13 The Barbican, Plymouth",PL1 2LS,10kg of locally roasted coffee beans and a crate of almond milk
3,Plymouth Gin Distillery,"60 Southside Street, Plymouth",PL1 2LQ,Promotional brochures and 500 branded gift bags
4,Jacka Bakery,"38 Southside Street, Plymouth",PL1 2LE,2 bags of specialty organic rye flour
5,Jar (Zero Waste Shop),"38 Looe Street, Plymouth",PL4 0EB,20 liters of eco-friendly laundry detergent and bamboo toothbrushes
6,Drake Circus,"1 Charles Street, Plymouth",PL1 1EA,Collection of online returns from the main management suite
7,Crownhill Court,"Tailyour Road, Crownhill, Plymouth",PL6 5DH,Office lunch catering order: 15 platters of sandwiches and assorted drinks
8,Falcon Business Centre,"Eagle Road, Langage Business Park, Plympton",PL7 5JY,Parcel delivery containing technical components and IT hardware
9,Unit 1 Haxter Close,"Belliver Industrial Estate, Roborough",PL6 7DD,Large format print delivery: 3 roll-up banners and a set of site maps
10,Rockets & Rascals,"7 The Parade, Plymouth",PL1 2JL,4 high-end cycling helmets and a box of energy gels
